代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000923.SZ,河钢资源,2010-03-09,9.72,9.72,1940400000.0,黑色金属矿采选业,0.09196608066764622
600532.SH,未来股份,2010-03-09,9.14,9.13,1406925000.0,黑色金属矿采选业,0.0666818068662792
000655.SZ,金岭矿业,2010-03-10,18.69,18.56,11424579014.0,黑色金属矿采选业,0.5431669405281699
000762.SZ,西藏矿业,2010-03-10,14.72,14.77,6142623850.0,黑色金属矿采选业,0.29204316407031405
000923.SZ,河钢资源,2010-03-10,9.72,10.11,2019600000.0,黑色金属矿采选业,0.09601928891615368
600532.SH,未来股份,2010-03-10,9.13,9.39,1446471000.0,黑色金属矿采选业,0.06877060648536232
000655.SZ,金岭矿业,2010-03-11,18.67,19.23,11835363772.0,黑色金属矿采选业,0.5561656623243899
000762.SZ,西藏矿业,2010-03-11,14.81,14.41,5993745175.0,黑色金属矿采选业,0.28165718597884526
000923.SZ,河钢资源,2010-03-11,10.01,10.15,2027520000.0,黑色金属矿采选业,0.09527691969584415
600532.SH,未来股份,2010-03-11,9.3,9.24,1423656000.0,黑色金属矿采选业,0.06690023200092068
000655.SZ,金岭矿业,2010-03-12,19.24,18.45,11359091588.0,黑色金属矿采选业,0.5482344081906149
000762.SZ,西藏矿业,2010-03-12,14.5,14.3,5946875962.0,黑色金属矿采选业,0.28701960877349547
000923.SZ,河钢资源,2010-03-12,10.06,10.09,2015640000.0,黑色金属矿采选业,0.09728270909380848
600532.SH,未来股份,2010-03-12,9.21,9.07,1397799000.0,黑色金属矿采选业,0.06746327394208113
000655.SZ,金岭矿业,2010-03-15,18.62,18.44,11347184784.0,黑色金属矿采选业,0.5528102441969627
000762.SZ,西藏矿业,2010-03-15,14.3,13.84,5756642100.0,黑色金属矿采选业,0.28045112383670123
000923.SZ,河钢资源,2010-03-15,9.99,9.99,1995840000.0,黑色金属矿采选业,0.09723299820884154
600532.SH,未来股份,2010-03-15,9.15,9.26,1426698000.0,黑色金属矿采选业,0.0695056337574945
000655.SZ,金岭矿业,2010-03-16,18.38,18.93,11650808301.0,黑色金属矿采选业,0.5546074252045985
000762.SZ,西藏矿业,2010-03-16,13.92,14.02,5831081438.0,黑色金属矿采选业,0.2775739655942956
000923.SZ,河钢资源,2010-03-16,10.02,10.21,2039400000.0,黑色金属矿采选业,0.09708050752711961
600532.SH,未来股份,2010-03-16,9.22,9.64,1486017000.0,黑色金属矿采选业,0.07073810167398632
000655.SZ,金岭矿业,2010-03-17,19.14,19.99,12305682554.0,黑色金属矿采选业,0.5615003225968731
