代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
600028.SH,中国石化,2010-02-03,5.1,5.18,983205658260.0,石油和天然气开采业,0.2877093524378423
600256.SH,广汇能源,2010-02-03,4.35,4.34,25417165432.0,石油和天然气开采业,0.007437666927372824
600759.SH,洲际油气,2010-02-03,4.86,5.43,8906858233.0,石油和天然气开采业,0.002606358489644128
600777.SH,新潮能源,2010-02-03,1.54,1.57,3740031208.0,石油和天然气开采业,0.0010944220549496178
601857.SH,中国石油,2010-02-03,9.64,9.76,2386593550747.0,石油和天然气开采业,0.6983740169202451
000968.SZ,蓝焰控股,2010-02-04,17.73,17.55,9257720940.0,石油和天然气开采业,0.0027378108601846395
600028.SH,中国石化,2010-02-04,5.12,5.12,970200292410.0,石油和天然气开采业,0.2869199573339495
600256.SH,广汇能源,2010-02-04,4.27,4.36,25521958842.0,石油和天然气开采业,0.007547677937547876
600759.SH,洲际油气,2010-02-04,5.44,5.97,9798482609.0,石油和天然气开采业,0.002897731771579034
600777.SH,新潮能源,2010-02-04,1.56,1.62,3852607399.0,石油和天然气开采业,0.0011393420092666885
601857.SH,中国石油,2010-02-04,9.73,9.67,2362800823630.0,石油和天然气开采业,0.6987574800874723
000968.SZ,蓝焰控股,2010-02-05,16.97,16.92,8923785390.0,石油和天然气开采业,0.002687733441806539
600028.SH,中国石化,2010-02-05,4.98,5.0,947657658270.0,石油和天然气开采业,0.28542272905515853
600256.SH,广汇能源,2010-02-05,4.27,4.22,24683611557.0,石油和天然气开采业,0.0074343975506913525
600759.SH,洲际油气,2010-02-05,5.97,5.44,8925629273.0,石油和天然气开采业,0.0026882887964890297
600777.SH,新潮能源,2010-02-05,1.58,1.6,3802573536.0,石油和天然气开采业,0.0011452879704041989
601857.SH,中国石油,2010-02-05,9.54,9.52,2326196628067.0,石油和天然气开采业,0.7006215631854503
000968.SZ,蓝焰控股,2010-02-08,16.97,17.41,9180658890.0,石油和天然气开采业,0.0027731960867661805
600028.SH,中国石化,2010-02-08,4.98,4.95,938120389980.0,石油和天然气开采业,0.28337745967687283
600256.SH,广汇能源,2010-02-08,4.28,4.3,25178998589.0,石油和天然气开采业,0.007605804898356917
